WalletId,amt,date,time,MCC,payee
602532,1.0,23-06-2024,13:01,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,1.0,25-06-2024,11:24,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,1.0,26-06-2024,13:02,0000,a2cf2bbb-2b27-49a1-bb30-0036aad22d25
602532,1.0,01-10-2024,08:53,0000,39755a79-8e13-4f28-b845-35163ddbf136
602532,1.0,02-10-2024,14:21,0000,39755a79-8e13-4f28-b845-35163ddbf136
602532,1.0,20-10-2024,02:32,0000,39755a79-8e13-4f28-b845-35163ddbf136
602532,1.0,04-08-2025,12:53,5411,2697c9c6-6277-40f8-8712-c79e20fc01f9
602532,2.0,09-01-2025,16:29,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,2.0,24-09-2025,12:55,5411,a4f6184e-fe7c-4246-9c1a-011978e55a0a
602532,2.0,17-10-2025,12:14,5411,8b540fb4-c83e-45e2-bf2e-55e39e99f5d2
602532,2.0,28-10-2025,13:03,5814,04cb84b5-7c06-47fc-b9b3-a2035f8a9469
602532,3.0,13-08-2025,10:39,7298,52daefc5-d449-40bb-be1f-a5491826f1ee
602532,4.0,23-05-2024,04:39,5311,d4ddef0b-49d7-4aef-97ea-3be235a50a1b
602532,4.0,12-11-2024,19:42,5973,c16b1935-8666-4bb4-bbe8-1b00c3c5c551
602532,4.0,04-01-2025,14:43,4814,3bdf0ac7-4633-46ae-a797-10b9c0e6670f
602532,5.0,19-04-2024,02:18,0000,135f4ea4-9e62-452c-af3b-250f867eb7b1
602532,5.0,13-06-2024,20:02,0000,0631e1a6-e38b-4e51-8cbf-aa7e2236c7ac
602532,5.0,14-06-2024,12:57,0000,dcca1f28-be07-4284-be79-611e4a01cc91
602532,5.0,27-06-2024,04:11,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,5.0,17-07-2024,13:06,5912,01b4d883-4a64-4fb2-9174-f4f5349c2b4e
602532,5.0,19-07-2024,06:17,5812,9f3eda73-5d9c-4824-8d80-d58a2531138b
602532,5.0,25-07-2024,08:19,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,5.0,25-07-2024,18:11,5411,1d7f0348-2aab-4fca-ba47-59489db73925
602532,5.0,09-08-2024,13:53,5300,5d1d71ae-f86e-48a8-9c0f-37eaafd88bfd
602532,5.0,27-08-2024,00:21,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,5.0,07-09-2024,15:38,0000,06e22cd5-54ff-4dd0-8fd9-fd265f70acd0
602532,5.0,15-09-2024,19:49,5462,45674a47-a7e4-4085-b8a7-f68570dff0a9
602532,5.0,15-09-2024,19:50,0000,c5c784e5-fce0-4668-bf47-41970f08ee15
602532,5.0,16-09-2024,19:41,5411,35572457-64ad-480a-91c1-f5b5b150cbe1
602532,5.0,24-09-2024,17:19,5812,99d7ef1b-f13c-4dda-837e-2f592fdcf625
602532,5.0,03-10-2024,17:06,5993,d87b06a1-e960-4708-a550-e1b8e6dfd945
602532,5.0,16-11-2024,13:05,5411,5d1b7f72-6df8-4ab4-b099-de782bfa6ff0
602532,5.0,09-12-2024,15:54,5814,01e61bd0-946c-4b67-9ec5-34a7dce6a3af
602532,5.0,20-12-2024,10:40,7622,9e9da7a2-2602-40e4-bf6e-aed788873c8c
602532,5.0,05-01-2025,18:10,5814,047e08a5-6254-4f95-ac1c-8c1d728df263
602532,5.0,10-01-2025,16:12,5814,3727ad60-8f22-45f1-bafc-9f7f017e8d9f
602532,5.0,01-04-2025,23:59,5812,272e0286-8005-4e77-80ca-6fcadd044182
602532,5.0,10-08-2025,18:28,5411,4df29429-da4e-4838-bfe7-7fb9b9ca3276
602532,5.0,10-08-2025,18:30,5411,4df29429-da4e-4838-bfe7-7fb9b9ca3276
602532,5.0,05-09-2025,11:34,7538,e54a2a93-78c7-4806-87bb-0ec0391df3a6
602532,5.0,05-09-2025,13:53,5812,34a0598e-5ac1-4e2e-858e-aefb2da5924e
602532,5.0,15-09-2025,14:33,5411,4df29429-da4e-4838-bfe7-7fb9b9ca3276
602532,5.0,20-09-2025,08:49,5411,5887cf65-1a0e-443b-9a6e-602b684d432d
602532,5.0,20-09-2025,17:38,0000,27cd1d57-6bd5-48fb-94c5-d205aaa1fa6d
